Rank|Song|Total Points|Number Ones|Total Listeners
---|---|---|---|---|---
1|Ariana Grande - No Tears Left To Cry|4739.5|196|375
2|Drake - Nice For What|851.0|11|98
3|Calvin Harris & Dua Lipa - One Kiss|825.0|2|99
4|Nicki Minaj - Chun-Li|585.5|3|74
5|Cardi B - I Like It (feat. Bad Bunny & J Balvin)|453.0|2|60
6|Anne-Marie - 2002|383.0|1|45
7|Nicki Minaj - Barbie Tingz|373.0|3|49
8|Sugarland - Babe (feat. Taylor Swift)|360.5|13|41
9|Janelle Monáe - Pynk (feat. Grimes)|304.5|5|36
10|Kimbra - Lightyears|280.5|1|42
11|Avicii - Levels|279.5|1|48
12|Kacey Musgraves - High Horse|279.0|0|39
12|Taylor Swift - Delicate|279.0|4|36
14|Lykke Li - Hard Rain|278.0|3|28
15|Kimbra - Top Of The World|276.0|2|44
16|Kimbra - The Good War|269.5|1|47
17|Kimbra - Recovery|261.0|1|45
18|Ariana Grande - Into You|258.0|1|34
19|Kimbra - Like They Do On The TV|257.0|1|44
20|Lykke Li - Deep End|255.0|2|28
21|Billie Eilish & Khalid - Lovely|248.5|5|31
22|Khalid - OTW (feat. 6LACK & Ty Dolla $ign)|247.5|3|28
23|Kimbra - Black Sky|244.0|4|36
24|Janelle Monáe - I Like That|238.5|1|32
25|Kimbra - Past Love|233.0|1|38
26|Avicii - Without You (feat. Sandro Cavazza)|231.5|2|30
27|Kimbra - Everybody Knows|221.5|1|41
27|J. Cole - 1985|221.5|3|29
29|Janelle Monáe - Make Me Feel|218.0|0|44
30|Avicii - Lonely Together (feat. Rita Ora)|210.5|2|27
31|Kimbra - Right Direction|209.5|1|35
32|Zedd, Maren Morris & Grey - The Middle|209.0|2|31
33|Charlie Puth - Done For Me (feat. Kehlani)|198.0|0|26
34|Kimbra - Human|195.5|0|36
35|The Chainsmokers & Drew Love - Somebody|188.0|1|25
36|Sigrid - High Five|186.0|1|17
37|J. Cole - KOD|183.5|1|31
38|Hayley Kiyoko - What I Need (feat. Kehlani)|182.5|2|26
39|Avicii - Wake Me Up|167.5|1|32
40|Liam Payne & J Balvin - Familiar|164.0|1|20
41|The Weeknd - Call Out My Name|158.5|0|25
42|Bebe Rexha - Ferrari|141.0|3|15
43|Kimbra - Version Of Me|135.0|1|28
44|Avicii - Waiting For Love|131.5|1|22
45|Cardi B - Be Careful|129.5|1|18
46|J. Cole - ATM|128.5|1|23
47|Hayley Kiyoko - Curious|127.5|1|22
48|Post Malone - Psycho (feat. Ty Dolla $ign)|124.5|0|21
49|Florence + The Machine - Sky Full Of Song|123.5|2|16
50|Azealia Banks - Anna Wintour|120.0|0|18
51|Avicii - Hey Brother|116.0|0|22
52|Let's Eat Grandma - It's Not Just Me|111.5|1|12
53|Kali Uchis - In My Dreams|111.0|2|14
54|Kimbra - Real Life|109.5|1|23
55|Lorde - Green Light|108.0|1|23
56|Lorde - Ribs|105.5|0|17
56|TWICE - What is Love?|105.5|2|10
58|Zayn - Let Me|104.5|0|13
59|Cardi B - Bartier Cardi (feat. 21 Savage)|104.0|0|18
60|J. Cole - Kevin's Heart|103.5|2|19
61|Marshmello & Anne-Marie - Friends|102.0|1|17
62|J. Cole - Motiv8|101.5|0|17
63|bazzi - Mine|101.0|1|13
63|Bebe Rexha - 2 Souls on Fire (feat. Quavo)|101.0|0|10
65|Troye Sivan - My My My!|99.0|1|13
66|Ariana Grande - Greedy|96.5|1|16
66|Cardi B - I Do (feat. SZA)|96.5|0|12
66|Taylor Swift - September - Recorded at The Tracking Room Nashville|96.5|0|11
69|Kim Petras - Heart To Break|92.5|0|16
70|Troye Sivan - Strawberries & Cigarettes|91.0|0|10
70|Bleachers - Rollercoaster|91.0|0|9
72|Kali Uchis - Dead To Me|89.0|2|12
73|Father John Misty - Disappointing Diamonds Are The Rarest Of Them All|87.5|1|11
74|Khalid & Normani - Love Lies|87.0|0|13
75|Avicii - The Nights|86.5|0|15
75|Shawn Mendes - In My Blood|86.5|0|14
77|Kali Uchis - Just A Stranger (feat. Steve Lacy)|86.0|0|18
78|Lorde - Perfect Places|85.0|0|14
79|Lil Pump - Esskeetit|83.0|1|10
80|Carly Rae Jepsen - Run Away With Me|81.0|1|14
80|The Chainsmokers - Everybody Hates Me|81.0|0|13
82|Kendrick Lamar & SZA - All The Stars|80.5|0|17
83|Kali Uchis - Nuestro Planeta (feat. Reykon)|80.0|0|11
84|Taylor Swift - Getaway Car|78.5|0|9
85|Charli XCX - Backseat (feat. Carly Rae Jepsen)|78.0|0|12
85|Kim Petras - I Don't Want It At All|78.0|0|10
85|Anderson .Paak - 'Til It's Over|78.0|1|9
88|KYLE - Playinwitme (feat. Kehlani)|77.5|0|11
89|Kali Uchis - After The Storm (feat. Tyler, The Creator & Bootsy Collins)|77.0|0|15
89|Cardi B - Bickenhead|77.0|0|13
89|Ariana Grande - Dangerous Woman|77.0|0|10
92|Bishop Briggs - Hallowed Ground|76.5|1|8
93|Lorde - Supercut|76.0|1|16
94|Charli XCX - Unlock It (feat. Kim Petras & Jay Park)|75.5|1|13
94|Hayley Kiyoko - Feelings|75.5|0|9
96|Ariana Grande - Be Alright|73.0|0|13
96|Rae Sremmurd, Swae Lee & Slim Jxmmi - Powerglide (feat. Juicy J)|73.0|0|10
98|Cardi B - Thru Your Phone|72.5|1|8
99|Kylie Minogue - Raining Glitter|71.5|0|8
100|Ariana Grande - One Last Time|71.0|0|14
101|Dua Lipa - IDGAF|69.5|0|13
101|Lorde - Homemade Dynamite|69.5|0|10
103|Kali Uchis - Miami (feat. BIA)|69.0|1|14
103|Charli XCX - I Got It (feat. Brooke Candy, CupcakKe & Pabllo Vittar)|69.0|0|13
105|Kacey Musgraves - Oh, What A World|68.5|0|15
106|Lorde - The Louvre|68.0|0|13
106|Tinashe - Joyride|68.0|0|9
108|Camila Cabello - Havana (feat. Young Thug)|67.5|0|19
108|Paramore - Hard Times|67.5|0|17
108|Kacey Musgraves - Space Cowboy|67.5|0|12
111|Shawn Mendes - Lost In Japan|66.0|0|12
112|Cardi B - Money Bag|65.5|0|12
112|Camila Cabello - Never Be The Same|65.5|0|10
112|Cardi B - Get Up 10|65.5|1|8
115|Cardi B - Ring (feat. Kehlani)|65.0|0|11
115|A$AP Rocky - A$AP Forever (feat. Moby)|65.0|0|9
117|Kacey Musgraves - Lonely Weekend|64.0|0|13
118|The Weeknd - Wasted Times|63.5|0|11
118|Elohim - Half Love|63.5|1|6
120|Bishop Briggs - Tempt My Trouble|63.0|0|7
121|Young Thug - Anybody (feat. Nicki Minaj)|62.5|0|7
122|Ariana Grande - Moonlight|62.0|0|8
123|J. Cole - The Cut Off (feat. kiLL edward)|60.5|0|15
123|Janelle Monáe - Django Jane|60.5|0|8
125|Drake - God's Plan|60.0|0|17
126|Ariana Grande - Touch It|59.5|0|6
127|Qveen Herby - SADE IN THE 90s|59.0|0|7
128|Kacey Musgraves - Butterflies|58.0|0|14
128|Taylor Swift - I Did Something Bad|58.0|1|8
130|J. Cole - Once an Addict - Interlude|57.5|0|11
130|Becky G - Sin Pijama|57.5|0|8
130|Taylor Swift - ...Ready For It?|57.5|0|8
133|J. Cole - Photograph|57.0|0|16
133|St. Vincent - Los Ageless|57.0|0|9
133|King Princess - Talia|57.0|1|6
136|Tyler, The Creator - OKRA|55.0|0|8
137|5 Seconds Of Summer - Youngblood|54.5|0|10
138|Charli XCX - Out Of My Head (feat. Tove Lo & ALMA)|54.0|0|13
139|Charli XCX - Femmebot (feat. Dorian Electra & Mykki Blanco)|53.5|0|8
140|Lorde - Liability|53.0|0|7
141|Kacey Musgraves - Golden Hour|52.5|0|8
141|Bebe Rexha - Meant To Be (feat. Florida Georgia Line)|52.5|0|7
143|Kali Uchis - Flight 22|52.0|0|9
144|Rae Sremmurd - CLOSE (feat. Travis Scott)|51.5|1|5
145|Bleachers - Don't Take The Money|51.0|1|8
145|King Princess - 1950|51.0|0|8
145|Taylor Swift - Gorgeous|51.0|0|7
148|Kacey Musgraves - Slow Burn|50.5|0|13
148|Lorde - Sober|50.5|0|11
148|Carly Rae Jepsen - I Didn't Just Come Here To Dance|50.5|0|8
148|Kali Uchis - Feel Like a Fool|50.5|0|7
152|Dua Lipa - Blow Your Mind (Mwah)|50.0|1|7
152|Kygo - Remind Me To Forget|50.0|1|6
154|Kali Uchis - Tomorrow|49.0|0|11
154|Paramore - Rose-Colored Boy|49.0|0|11
156|J. Cole - BRACKETS|48.5|0|14
156|J. Cole - Window Pain - Outro|48.5|0|12
156|Taylor Swift - Out Of The Woods|48.5|0|11
159|J. Cole - FRIENDS (feat. kiLL edward)|48.0|0|12
160|Sigrid - Strangers|47.5|0|9
160|Kali Uchis - Tyrant (feat. Jorja Smith)|47.5|1|7
162|Kacey Musgraves - Wonder Woman|46.5|0|7
162|Father John Misty - Just Dumb Enough To Try|46.5|0|5
164|J. Cole - Intro|46.0|1|14
164|Bishop Briggs - White Flag|46.0|0|9
164|Tinashe - No Drama (feat. Offset)|46.0|0|8
164|J. Cole - Window Pain (Outro)|46.0|0|7
164|Jack Antonoff & MØ - Never Fall In Love|46.0|1|6
169|Calvin Harris - Slide|45.0|0|11
169|Charli XCX - Porsche (feat. MØ)|45.0|0|11
169|Kacey Musgraves - Happy & Sad|45.0|0|10
169|Aurora - Queendom|45.0|1|7
169|Kanye West - Heartless|45.0|0|7
174|5 Seconds Of Summer - Want You Back|44.5|1|6
174|The Weeknd - I Was Never There (feat. Gesaffelstein)|44.5|1|6
176|Taylor Swift - Call It What You Want|44.0|0|8
176|LOOΠΔ - Egoist (Olivia Hye) (feat. Jinsoul)|44.0|1|5
176|Prince - Nothing Compares 2 U|44.0|1|5
176|Ariana Grande - Intro|44.0|0|5
180|Bishop Briggs - Water|43.5|0|8
180|Kacey Musgraves - Velvet Elvis|43.5|0|8
180|Paramore - Still into You|43.5|1|5
183|Kali Uchis - Your Teeth In My Neck|43.0|0|10
183|Taylor Swift - So It Goes...|43.0|0|6
183|Sabrina Carpenter - Alien|43.0|0|5
183|The Aces - Fake Nice|43.0|0|4
187|Tove Lo - Disco Tits|42.5|0|11
187|Dua Lipa - New Rules|42.5|0|10
187|Bishop Briggs - Hi-Lo (Hollow)|42.5|1|7
187|Bhad Bhabie - Gucci Flip Flops (feat. Lil Yachty)|42.5|1|3
191|BROCKHAMPTON - BOOGIE|42.0|0|8
191|Billie Eilish - Bellyache|42.0|0|7
191|Cardi B - Bodak Yellow|42.0|0|7
191|Kero Kero Bonito - Only Acting|42.0|0|5
195|Foster The People - Sit Next To Me|41.5|0|8
195|The Chainsmokers - Closer|41.5|1|7
195|Halsey - Alone (Calvin Harris Remix) (feat. Stefflon Don)|41.5|0|6
195|LOOΠΔ - NEW|41.5|0|5
199|Taylor Swift - End Game (feat. Ed Sheeran & Future)|41.0|0|8
199|Charli XCX - Boys|41.0|0|7
199|NOTD - I Wanna Know (feat. Bea Miller)|41.0|0|6
199|Kim Petras - Hillside Boys|41.0|0|5
203|Halsey - Alone|40.5|1|6
203|St. Vincent - New York|40.5|0|6
203|Taylor Swift - State Of Grace|40.5|0|6
203|Avicii - Broken Arrows|40.5|0|5
203|K.I.D - Prodigal Daughter|40.5|1|4
208|Charli XCX - Track 10|40.0|0|8
208|Bleachers - I Wanna Get Better|40.0|0|6
208|EXO-CBX - 花요일 Blooming Day|40.0|0|4
211|Ariana Grande - Side To Side|39.5|0|10
211|Tinashe - Ooh La La|39.5|0|7
213|Carly Rae Jepsen - Emotion|39.0|0|10
213|Sufjan Stevens - Mystery Of Love|39.0|0|6
213|Tim Berg - Seek Bromance - Avicii Vocal Edit|39.0|0|6
213|Tinashe - Stuck With Me (feat. Little Dragon)|39.0|0|5
217|Cardi B - Drip (feat. Migos)|38.0|0|8
217|Lorde - Liability (Reprise)|38.0|0|8
217|Halsey - Alone (feat. Big Sean & Stefflon Don)|38.0|0|7
217|Louis The Child - Better Not (feat. Wafia)|38.0|0|5
221|Sean Paul - Tip Pon It|37.0|0|7
221|U.S. Girls - Pearly Gates|37.0|0|4
223|Carly Rae Jepsen - LA Hallucinations|36.5|0|7
223|Charli XCX - Tears (feat. Caroline Polachek)|36.5|0|5
225|Rae Morris - Do It|36.0|0|4
225|Amy Shark - I Said Hi|36.0|2|3
227|Rihanna - We Found Love (feat. Calvin Harris)|35.5|0|6
228|Avicii - Addicted To You|35.0|1|6
228|Paramore - 26|35.0|0|5
228|Taylor Swift - Look What You Made Me Do|35.0|0|5
228|U.S. Girls - Incidental Boogie|35.0|0|4
228|The Strokes - Someday|35.0|0|3
233|Tinashe - Faded Love (feat. Future)|34.5|0|9
233|Bishop Briggs - Lyin'|34.5|0|7
233|Charli XCX - Vroom Vroom|34.5|0|7
233|Taylor Swift - Style|34.5|1|6
233|Meghan Trainor - No Excuses|34.5|0|6
233|October - Pure|34.5|0|4
233|Taylor Swift - Delicate - Recorded at The Tracking Room Nashville|34.5|0|4
240|Offset - Ric Flair Drip (& Metro Boomin)|34.0|0|6
240|October - Candy Talk|34.0|1|4
240|Alvvays - Dreams Tonite|34.0|1|3
243|Ariana Grande - Break Free|33.5|0|7
243|Vince Staples - Yeah Right|33.5|0|6
243|Beach House - Dark Spring|33.5|1|3
246|Jay Rock, Kendrick Lamar, Future & James Blake - King's Dead|33.0|1|7
246|Years & Years - Sanctify|33.0|0|4
248|SZA - Prom|32.5|1|8
248|The Weeknd - Privilege|32.5|0|5
248|Fickle Friends - Glue|32.5|0|4
251|SZA - Drew Barrymore|32.0|1|7
251|Kacey Musgraves - Love Is A Wild Thing|32.0|0|7
251|Kylie Minogue - Stop Me from Falling (feat. Gente de Zona)|32.0|0|4
251|Dua Lipa - Room For 2|32.0|0|3
251|Todrick Hall - Dem Beats|32.0|0|3
256|Migos - Walk It Talk It|31.5|1|6
256|Sufjan Stevens - Visions Of Gideon|31.5|1|4
256|Blossoms - There's a Reason Why (I Never Returned Your Calls)|31.5|0|4
256|Boa - ONE SHOT, TWO SHOT|31.5|0|3
260|The Weeknd & Kendrick Lamar - Pray For Me|31.0|0|8
260|N.E.R.D - Lemon|31.0|0|6
260|Taylor Swift - Red|31.0|0|6
260|Riton - Fake ID|31.0|1|3
260|Bleachers - Wild Heart|31.0|0|3
260|Frank Ocean - Solo|31.0|0|3
266|Niall Horan - Slow Hands|30.5|0|6
266|Sky Ferreira - Everything Is Embarrassing|30.5|1|4
266|Halsey - Bad At Love|30.5|0|4
266|Lana Del Rey - Cherry|30.5|0|4
266|CupcakKe - Duck Duck Goose|30.5|0|3
266|Julia Michaels - Uh Huh|30.5|0|3
272|Avicii - The Days|30.0|0|7
272|Kali Uchis - Killer|30.0|0|6
272|Panic! at The Disco - Say Amen (Saturday Night)|30.0|0|6
272|Charli XCX - 3am (Pull Up) (feat. MØ)|30.0|0|5
272|Rita Ora - Anywhere|30.0|0|5
272|Kylie Minogue - Stop Me From Falling|30.0|0|4
272|中島美嘉 - KISS OF DEATH (Produced by HYDE)|30.0|2|2
279|Avicii - You Make Me|29.5|0|5
279|Taylor Swift - Holy Ground|29.5|0|5
279|Sofi Tukker - Good Time Girl|29.5|0|4
279|Troye Sivan - Youth|29.5|0|4
283|Billie Eilish - COPYCAT|29.0|0|5
283|Little Mix - Power|29.0|0|5
283|Kesha - Your Love Is My Drug|29.0|1|3
283|BROCKHAMPTON - GOLD|29.0|0|3
283|Miguel - Sky Walker - Recorded at Spotify Studios NYC|29.0|0|3
288|Sofi Tukker - Fuck They|28.5|1|5
288|Kanye West - Ultralight Beam|28.5|0|5
288|October - Ultra Red|28.5|0|3
291|Camila Cabello - She Loves Control|28.0|0|9
291|MOMOLAND - BBoom BBoom|28.0|0|6
291|Zara Larsson - Lush Life|28.0|0|6
291|Cardi B - Best Life (feat. Chance The Rapper)|28.0|0|5
291|Grimes - Venus Fly|28.0|0|5
291|Charli XCX - Delicious (feat. Tommy Cash)|28.0|0|4
291|Rex Orange County - Loving Is Easy|28.0|0|4
291|Carly Rae Jepsen - Store|28.0|1|3
291|CupcakKe - Spoiled Milk Titties|28.0|0|2
300|Demi Lovato - Sorry Not Sorry|27.5|0|6
300|LIL UZI VERT - XO TOUR Llif3|27.5|0|6
300|NCT - Baby Don't Stop|27.5|1|3
303|Lana Del Rey - Born To Die|27.0|1|8
303|Migos - Stir Fry|27.0|0|6
303|Owl City - The Saltwater Room|27.0|1|3
303|Aminé - Campfire (feat. Injury Reserve)|27.0|0|3
303|Grimes - Kill V. Maim|27.0|0|3
303|Kate Bush - Hounds Of Love|27.0|0|3
303|NCT - BOSS|27.0|0|3
303|Aurora - It Happened Quiet|27.0|0|2
303|Ed Sheeran - Lego House|27.0|0|2
312|Carly Rae Jepsen - Warm Blood|26.5|0|6
312|Carly Rae Jepsen - Black Heart|26.5|0|5
312|Carly Rae Jepsen - Cry|26.5|0|5
312|George Ezra - Paradise|26.5|0|5
312|Justin Bieber - Sorry|26.5|0|5
312|Kanye West - All Of The Lights|26.5|0|5
312|Avicii - Lonely Together - Acoustic|26.5|0|4
312|Kanye West - Father Stretch My Hands Pt. 1|26.5|0|4
312|Lorde - Yellow Flicker Beat|26.5|0|4
312|Swae Lee, Slim Jxmmi & Rae Sremmurd - Guatemala|26.5|0|4
312|Tinashe - He Don't Want It|26.5|0|4
312|Avicii - I Could Be The One (Avicii Vs. Nicky Romero) - Nicktim / Radio Edit|26.5|0|3
312|Frank Ocean - Slide On Me|26.5|0|3
312|The Strokes - Barely Legal|26.5|0|3
326|Grimes - Flesh Without Blood|26.0|1|7
326|Kacey Musgraves - Rainbow|26.0|0|6
326|Kesha - rainbow|26.0|0|4
326|Banx & Ranx - Answerphone (feat. Yxng Bane)|26.0|0|3
326|Shania Twain - Man! I Feel Like a Woman!|26.0|0|3
326|Fiona Apple - Extraordinary Machine|26.0|1|2
326|Kanye West - Street Lights|26.0|0|2
326|Sleep - Sonic Titan|26.0|0|2
334|Lana Del Rey - Summer Bummer (feat. A$AP Rocky & Playboi Carti)|25.5|0|5
334|Kanye West - Power|25.5|0|4
334|Lorde - Buzzcut Season|25.5|0|4
334|Soccer Mommy - last girl|25.5|0|4
334|Bleachers - Dream Of Mickey Mantle|25.5|0|3
334|Lizzo - Good As Hell|25.5|0|3
334|Maren Morris - 80s Mercedes|25.5|0|3
334|A$AP Ferg - Plain Jane|25.5|1|2
334|Grace VanderWaal - Clearly|25.5|0|2
343|Charli XCX - Roll With Me|25.0|0|7
343|Ariana Grande - Knew Better / Forever Boy|25.0|0|5
343|Frank Ocean - nights|25.0|0|4
343|MØ - Nights With You|25.0|0|4
343|BLACKPINK - AS IF IT'S YOUR LAST|25.0|0|3
343|Carly Rae Jepsen - Call Me Maybe|25.0|0|3
343|Charli XCX - Boom Clap|25.0|0|3
343|Sleep - Marijuanaut's Theme|25.0|0|3
343|Dagny - Love You Like That|25.0|0|2
343|Loud Luxury - Body|25.0|0|2
343|Tim Berg - Seek Bromance (Avicii Vocal Edit) - Avicii Vocal Edit|25.0|0|2
354|Carly Rae Jepsen - Your Type|24.5|0|8
354|Lorde - Sober II (Melodrama)|24.5|0|8
354|Hayley Kiyoko - Wanna Be Missed|24.5|0|5
354|BROCKHAMPTON - STAR|24.5|0|4
354|Carly Rae Jepsen - When I Needed You|24.5|0|4
354|Lady Gaga - Electric Chapel|24.5|0|4
354|Father John Misty - Mr. Tillman|24.5|0|3
354|Lady Gaga - Mary Jane Holland|24.5|0|3
354|LOOΠΔ - Eclipse (Prod. by Daniel Obi Klein)|24.5|0|3
363|Carly Rae Jepsen - I Really Like You|24.0|0|9
363|Taylor Swift - Dancing with Our Hands Tied|24.0|0|6
363|The Vamps - Hair Too Long|24.0|1|4
363|Kanye West - Pt. 2|24.0|0|4
363|Kimbra - Miracle|24.0|0|4
363|Kah-Lo - Fasta|24.0|0|3
363|Katy Perry - Witness|24.0|0|3
363|Pentagon - Shine|24.0|1|2
363|Clean Bandit - Tears (feat. Louisa Johnson)|24.0|0|2
363|Denzel Curry - Ultimate|24.0|0|2
363|Kanye West - Amazing|24.0|0|2
363|Kanye West - Love Lockdown|24.0|0|2
363|Radiohead - All I Need|24.0|0|2
363|The Aces - Lovin' is Bible|24.0|0|2
377|Lady Gaga - Judas|23.5|0|5
377|Paramore - Idle Worship|23.5|0|5
377|Tinashe - No Contest|23.5|0|5
377|Sigrid - Don't Kill My Vibe|23.5|0|4
377|Vince Staples - Get The Fuck Off My Dick|23.5|0|4
377|Rihanna - S&M|23.5|0|3
377|Tame Impala - The Less I Know The Better|23.5|0|3
377|Sampha - Kora Sings|23.5|1|2
377|Sasha Sloan - Hurt|23.5|0|2
386|Bishop Briggs - Dream|23.0|0|8
386|Rich The Kid - Plug Walk|23.0|0|6
386|Ariana Grande - Love Me Harder|23.0|0|5
386|BROCKHAMPTON - QUEER|23.0|0|5
386|Avicii - Silhouettes - Original Radio Edit|23.0|0|4
386|Taylor Swift - Treacherous|23.0|0|4
386|MGMT - Electric Feel|23.0|1|3
386|blink-182 - I MISS YOU|23.0|0|2
394|Carly Rae Jepsen - Cut To The Feeling|22.5|0|8
394|Courtney Barnett - City Looks Pretty|22.5|0|6
394|Taylor Swift - All Too Well|22.5|0|6
394|Sofi Tukker - Batshit|22.5|1|4
394|Frank Ocean - Chanel|22.5|0|4
394|Rihanna - FourFiveSeconds|22.5|0|4
394|Britney Spears - Gimme More|22.5|0|3
394|Deafheaven - Honeycomb|22.5|0|3
394|Lord Huron - Lost in Time and Space|22.5|0|3
394|Marian Hill - Differently|22.5|0|3
394|bazzi - Soarin|22.5|1|2
394|Foster The People - Helena Beat|22.5|0|2
394|Girl In Red - summer depression|22.5|0|2
394|Jason Isbell and The 400 Unit - If We Were Vampires|22.5|0|2
394|NCT - GO|22.5|0|2
409|Tinashe - Fires And Flames|22.0|0|6
409|Rina Sawayama - Alterlife|22.0|1|5
409|October - 1000 Eyes|22.0|1|3
409|Camila Cabello - I Have Questions|22.0|0|3
409|Kanye West - Black Skinhead|22.0|0|3
409|Kendrick Lamar - Alright|22.0|0|3
409|Kehlani - Distraction|22.0|1|2
409|Purity Ring - Ungirthed|22.0|1|2
409|BROCKHAMPTON - BLEACH|22.0|0|2
409|Kelly Clarkson - I Don't Think About You|22.0|0|2
409|Muna - I Know A Place|22.0|0|2
409|Super Junior - Lo Siento|22.0|0|2
409|U.S. Girls - M.A.H.|22.0|0|2
422|Lady Gaga - Heavy Metal Lover|21.5|0|6
422|Lil Dicky - Freaky Friday (feat. Chris Brown)|21.5|0|6
422|Seb - Drink About|21.5|0|6
422|Camila Cabello - In The Dark|21.5|0|5
422|Kendrick Lamar - DNA.|21.5|0|5
422|Ariana Grande - Honeymoon Avenue|21.5|0|4
422|The Aces - Stuck|21.5|0|4
422|Taylor Swift - This Love|21.5|1|3
422|BTS - MIC Drop (feat. Desiigner) (Steve Aoki Remix)|21.5|0|3
422|Dennis Lloyd - Nevermind|21.5|0|3
422|Calvin Harris - Feels (feat. Pharrell Williams, Katy Perry & Big Sean)|21.5|0|2
422|Flatbush ZOMBiES - Headstone|21.5|0|2
422|Kanye West - Say You Will|21.5|0|2
422|Katy Perry - Firework|21.5|0|2
422|Marina & The Diamonds - Oh No!|21.5|0|2
422|NCT 127 - Cherry Bomb|21.5|0|2
422|October - All She Does Is Stare|21.5|0|2
422|Taylor Swift - Back To December|21.5|0|2
422|Vera Blue - Lady Powers|21.5|0|2
441|BlocBoy JB - Look Alive (feat. Drake)|21.0|0|6
441|Camila Cabello - All These Years|21.0|0|5
441|Cardi B - She Bad|21.0|0|4
441|Mikolas Josef - Lie To Me|21.0|0|4
441|Saba - Life|21.0|1|3
441|Confidence Man - Try Your Luck|21.0|0|3
441|Owl City - Be Brave|21.0|0|3
441|Siba - Clean Break|21.0|0|3
441|Troye Sivan - The Good Side|21.0|0|3
441|Rico Nasty - Smack A Bitch|21.0|1|2
441|Kero Kero Bonito - You Know How It Is|21.0|0|2
441|Litany - I Said|21.0|0|2
453|Armin van Buuren - Therapy|20.5|0|4
453|Soccer Mommy - Your Dog|20.5|0|4
453|BROCKHAMPTON - Sweet|20.5|0|3
453|RuPaul - Category Is (feat. The Cast Of Rupaul's Drag Race, Season 9)|20.5|0|3
453|bazzi - Star|20.5|0|2
453|Hyolyn - 달리 Dally|20.5|0|2
453|Kate Nash - Drink About You|20.5|0|2
460|Robyn - Dancing on My Own|20.0|0|7
460|Ariana Grande - Bad Decisions|20.0|0|5
460|FKA twigs - Two Weeks|20.0|0|5
460|Kanye West - Famous|20.0|0|5
460|Madison Beer - Home with You|20.0|0|5
460|Paramore - TOlD YOU SO|20.0|0|5
460|Ellie Goulding - Lights|20.0|0|4
460|Taylor Swift - King Of My Heart|20.0|0|4
460|Lady Gaga - Yoü and I|20.0|0|3
460|Miley Cyrus - Party in The U.S.A.|20.0|0|3
460|Rihanna - Birthday Cake|20.0|0|3
460|Yuno - Why For|20.0|0|3
460|bazzi - 3:15|20.0|1|2
460|Red Velvet - Bad Boy|20.0|0|2
474|The 1975 - Love Me|19.5|0|6
474|BROCKHAMPTON - TOKYO|19.5|0|5
474|Kali Uchis - Coming Home - Interlude|19.5|0|5
474|xxxtentacion - SAD!|19.5|0|5
474|BROCKHAMPTON - GUMMY|19.5|0|4
474|Liam Payne & Rita Ora - For You (Fifty Shades Freed)|19.5|0|4
474|Kim Petras - Faded|19.5|0|3
474|Bleachers - Wake Me|19.5|0|2
474|Grimes - Artangels|19.5|0|2
474|P!nk - What About Us|19.5|0|2
484|Julia Michaels - Heaven|19.0|0|5
484|Charli XCX - White Roses|19.0|0|4
484|Frank Ocean - Skyline To|19.0|0|4
484|Kendrick Lamar - Backseat Freestyle|19.0|0|4
484|Leon Bridges - Beyond|19.0|0|4
484|Yeah Yeah Yeahs - Maps|19.0|0|4
484|Britney Spears - Break The Ice|19.0|0|3
484|CHVRCHES - Miracle|19.0|0|3
484|Lana Del Rey - 13 Beaches|19.0|0|3
484|BØRNS - I Don't Want U Back|19.0|0|2
484|CHVRCHES - My Enemy (feat. Matt Berninger)|19.0|0|2
484|Halsey - Castle|19.0|0|2
484|Travi$ Scott - Butterfly Effect|19.0|0|2
497|Billie Eilish - watch|18.5|0|5
497|Rihanna - Needed Me|18.5|0|5
497|Billie Eilish - Ocean Eyes|18.5|0|4
497|Little Mix - Touch|18.5|0|4
497|MNEK - Tongue|18.5|0|4
497|Sigrid - I Don't Want To Know|18.5|0|4
497|Taylor Swift - Don't Blame Me|18.5|0|4
497|Bebe Rexha - (Not) The One|18.5|0|3
497|G-Eazy - 1942|18.5|0|3
497|Hayley Kiyoko - Sleepover|18.5|0|3
497|St. Vincent - Masseduction|18.5|0|3
497|Zak Abel - Love Song|18.5|0|3
497|U.S. Girls - Rage Of Plastics|18.5|1|2
497|October - Bruxism|18.5|0|2
497|Tegan and Sara - Back in Your Head|18.5|0|2
512|Vince Staples - 745|18.0|0|5
512|Ariana Grande - Let Me Love You|18.0|1|4
512|Bleachers - Alfie's Song (Not So Typical Love Song)|18.0|0|4
512|Kanye West - Stronger|18.0|0|4
512|Lady Gaga - Bad Romance|18.0|0|4
512|Lil B - I'm God|18.0|0|3
512|Red Velvet - 빨간 맛 Red Flavor|18.0|0|3
512|The Killers - All These Things That I've Done|18.0|0|3
512|Tove Lo - Stranger|18.0|0|3
512|bazzi - Why|18.0|0|2
512|Britney Spears - Perfume|18.0|0|2
512|Confidence Man - Don't You Know I'm In A Band|18.0|0|2
512|Fiona Apple - Fast As You Can|18.0|0|2
512|Florence + The Machine - Stand By Me|18.0|0|2
512|Injury Reserve - All This Money|18.0|0|2
512|Kate Bush - And Dream Of Sheep|18.0|0|2
512|Kim Petras - Faded (feat. Lil Aaron)|18.0|0|2
512|Naaz - Words|18.0|0|2
512|October - Cherry Cola|18.0|0|2
